leaid,leaname,fips,stateabb,gapblk,gapseblk,gaphsp,gapsehsp,racepercent
100005,ALBERTVILLE CITY,AL,AL,,,.5298000000000001,.0224,.99866641
100006,MARSHALL COUNTY,AL,AL,,,.2495,.0248,.99952853
100007,HOOVER CITY,AL,AL,.9385,.0137,.952,.0298,.99969202
100008,MADISON CITY,AL,AL,.9371,.0217,.7238,.0839,.99098152
100011,LEEDS CITY,AL,AL,.623,.0361,.5923000000000001,.1567,.99075639
100012,BOAZ CITY,AL,AL,,,.6598000000000001,.0375,1
100013,TRUSSVILLE CITY,AL,AL,.7176,.0351,,,1
100030,ALEXANDER CITY,AL,AL,.821,.0234,.8241000000000001,.2094,.99948573
100060,ANDALUSIA CITY,AL,AL,.9334,.0314,,,1
100090,ANNISTON CITY,AL,AL,.522,.1444,,,.99810648
100120,ATHENS CITY,AL,AL,.9996,.0272,.9637,.0354,.99824864
100180,ATTALLA CITY,AL,AL,.5384,.0475,,,1
100185,SARALAND CITY,AL,AL,.653,.0429,,,.99959153
100188,CHICKASAW CITY,AL,AL,.6234,.2132,,,1
100210,AUBURN CITY,AL,AL,1.2186,.0253,.3237,.5401,.99742484
100240,AUTAUGA COUNTY,AL,AL,.7748,.0168,.3387,.6215000000000001,.99822581
100270,BALDWIN COUNTY,AL,AL,.8522,.0127,.5523,.0169,.99547756
100360,BIBB COUNTY,AL,AL,.6651,.0213,,,.99964839
100390,BIRMINGHAM CITY,AL,AL,.3065,.0677,.3074,.0772,.99989402
100420,BLOUNT COUNTY,AL,AL,,,.4283,.021,.99995279
100450,BREWTON CITY,AL,AL,1.2366,.0446,,,.9993543
100510,BUTLER COUNTY,AL,AL,.7142,.0232,,,.99824107
100540,CALHOUN COUNTY,AL,AL,.5326,.0251,.1641,.0599,.99921119
100600,CHAMBERS COUNTY,AL,AL,.5916,.0218,,,1
100630,CHEROKEE COUNTY,AL,AL,.2861,.0545,,,1
100660,CHILTON COUNTY,AL,AL,.5955,.0194,.303,.0239,.99903876
100690,CHOCTAW COUNTY,AL,AL,.3684,.033,,,1
100720,CLARKE COUNTY,AL,AL,.73,.0221,,,1
100750,CLAY COUNTY,AL,AL,.5794,.0291,,,1
100840,COLBERT COUNTY,AL,AL,.4626,.0443,,,1
100870,CONECUH COUNTY,AL,AL,.1938,.115,,,1
100900,COOSA COUNTY,AL,AL,.4842,.0327,,,.99869728
100930,COVINGTON COUNTY,AL,AL,.3356,.1097,,,.99932212
100960,CRENSHAW COUNTY,AL,AL,.5366,.0259,,,1
100990,CULLMAN CITY,AL,AL,,,.6721,.1854,1
101020,CULLMAN COUNTY,AL,AL,,,.3239,.0291,.99991727
101050,DALE COUNTY,AL,AL,.7096,.0265,,,.99818438
101080,DALEVILLE CITY,AL,AL,.4944,.0366,,,1
