"Restaurant.name","offense_date","citstzip","staddress","comments","ins_date","X","seq_01","citation"
"Bell & Anchor Restaurant","1/1/2013","Great Barrington, MA 01230","","","17-Jan-13",NA,1,"R0590639"
"Bella Notte","1/1/2013","Bernardston, MA 01337","","","08-Jan-13",NA,1,"R1126876"
"Belle Notte","1/1/2013","Bernardston, MA 01337","199 Huckle Hill Road","","10-May-13",NA,1,"R1848185"
"Main Street Bar & Grille","1/1/2013","Plymouth, MA 02360","Main Street","","19-Jul-13",NA,NA,""
"Majestic Dragon","1/1/2013","Ipswich","Rte 1A","","",NA,NA,""
"Naga","1/1/2013","Cambridge, Ma.","","","17-Sep-14",NA,NA,""
"LOS RECUERDOS","1/2/2013","CHELSEA, MA. 02150","14-16A FIFTH STREET","","24-Jun-14",NA,NA,""
"43 Church","1/3/2013","Salem, MA 01970","","","07-Jan-13",NA,1,"R0893843"
"Gallagher's","1/3/2013","Worcester, MA 01608","","","30-Jan-13",NA,NA,""
"Slades Bar & Grill","1/3/2013","Roxbury Crossing, MA 02120","958 Tremont St","","04-Oct-13",NA,NA,""
"Uno Chicago Grill","1/3/2013","Bellingham, MA 02019","205 Hartford Ave","","25-Apr-13",NA,NA,""
"FRATERNAL ORDER OF EAGLES","1/4/2013","GARDNER, MA 01440","CITY HALL AVE","","28-May-13",NA,NA,""
"Mill Towne Tavern","1/4/2013","Millbury","49 Elm Street","","",NA,NA,""
"Mill Towne Tavern","1/4/2013","Milbury","49 Elm Street","","",NA,NA,""
"TGI FRIDAY'S","1/4/2013","LEOMINSTER, MA 01453","ORCHARD HILL DRIVE PARK","","16-Jul-13",NA,NA,""
"Uno Chicago Grill","1/4/2013","Bellingham","205 Hartford Avenue","","",NA,NA,""
"Private Res.","1/5/2013","xxxx","xxxx","45 DAY LOSS of LICENSE","25-Feb-14",NA,NA,""
"Taylor's Tavern","1/5/2013","Greenfield, MA 01301","","","08-Jan-13",NA,NA,""
"The Farm","1/5/2013","Essex, MA 01929","233 Western Avenue","","04-Nov-13",NA,NA,""
